[LOG]Added St#1 	Position(264,15009) 	 to the Quad Tree.
[LOG]Added St#1014 	Position(19935,26308) 	 to the Quad Tree.
[LOG]Added St#1015 	Position(20506,26297) 	 to the Quad Tree.
[LOG]Added St#1016 	Position(21009,26296) 	 to the Quad Tree.
[LOG]Added St#1017 	Position(21556,26313) 	 to the Quad Tree.
[LOG]Added St#1018 	Position(22109,26302) 	 to the Quad Tree.
[LOG]Added St#1019 	Position(22660,26325) 	 to the Quad Tree.
[LOG]Added St#1020 	Position(23164,26295) 	 to the Quad Tree.
[LOG]Added St#1021 	Position(23691,26299) 	 to the Quad Tree.
[LOG]Added St#1022 	Position(24235,26342) 	 to the Quad Tree.
[LOG]Added St#1023 	Position(24768,26343) 	 to the Quad Tree.
[LOG]Added St#1024 	Position(285,26855) 	 to the Quad Tree.
[LOG]Added St#1025 	Position(806,26867) 	 to the Quad Tree.
[LOG]Added St#1026 	Position(1325,26860) 	 to the Quad Tree.
[LOG]Added St#1027 	Position(1873,26848) 	 to the Quad Tree.
[LOG]Added St#1028 	Position(2431,26845) 	 to the Quad Tree.
[LOG]Added St#1029 	Position(2946,26852) 	 to the Quad Tree.
[LOG]Added St#1030 	Position(3476,26831) 	 to the Quad Tree.
[LOG]Added St#1031 	Position(4056,26860) 	 to the Quad Tree.
[LOG]Added St#1032 	Position(4570,26847) 	 to the Quad Tree.
[LOG]Added St#1033 	Position(5112,26843) 	 to the Quad Tree.
[LOG]Added St#1034 	Position(5646,26846) 	 to the Quad Tree.
[LOG]Added St#1035 	Position(6176,26860) 	 to the Quad Tree.
[LOG]Added St#1036 	Position(6738,26881) 	 to the Quad Tree.
[LOG]Added St#1037 	Position(7294,26846) 	 to the Quad Tree.
[LOG]Added St#1038 	Position(7788,26860) 	 to the Quad Tree.
[LOG]Added St#1039 	Position(8364,26859) 	 to the Quad Tree.
[LOG]Added St#1040 	Position(8882,26852) 	 to the Quad Tree.
[LOG]Added St#1041 	Position(9426,26877) 	 to the Quad Tree.
[LOG]Added St#1042 	Position(9969,26852) 	 to the Quad Tree.
[LOG]Added St#1043 	Position(10534,26837) 	 to the Quad Tree.
[LOG]Added St#1044 	Position(11050,26847) 	 to the Quad Tree.
[LOG]Added St#1045 	Position(11595,26861) 	 to the Quad Tree.
[LOG]Added St#1046 	Position(12130,26868) 	 to the Quad Tree.
[LOG]Added St#1047 	Position(12683,26831) 	 to the Quad Tree.
[LOG]Added St#1048 	Position(13231,26848) 	 to the Quad Tree.
[LOG]Added St#1049 	Position(13733,26871) 	 to the Quad Tree.
[LOG]Added St#1050 	Position(14283,26845) 	 to the Quad Tree.
[LOG]Added St#1051 	Position(14815,26831) 	 to the Quad Tree.
[LOG]Added St#1052 	Position(15357,26853) 	 to the Quad Tree.
[LOG]Added St#1053 	Position(15924,26840) 	 to the Quad Tree.
[LOG]Added St#1054 	Position(16446,26846) 	 to the Quad Tree.
[LOG]Added St#1055 	Position(16998,26860) 	 to the Quad Tree.
[LOG]Added St#1056 	Position(17532,26868) 	 to the Quad Tree.
[LOG]Added St#1057 	Position(18071,26872) 	 to the Quad Tree.
[LOG]Added St#1058 	Position(18569,26839) 	 to the Quad Tree.
[LOG]Added St#1059 	Position(19119,26869) 	 to the Quad Tree.
[LOG]Added St#1060 	Position(19658,26859) 	 to the Quad Tree.
[LOG]Added St#1061 	Position(20236,26883) 	 to the Quad Tree.
[LOG]Added St#1062 	Position(20728,26836) 	 to the Quad Tree.
[LOG]Added St#1063 	Position(21298,26874) 	 to the Quad Tree.
[LOG]Added St#1064 	Position(21807,26846) 	 to the Quad Tree.
[LOG]Added St#1065 	Position(22343,26866) 	 to the Quad Tree.
[LOG]Added St#1066 	Position(22917,26839) 	 to the Quad Tree.
[LOG]Added St#1067 	Position(23421,26876) 	 to the Quad Tree.
[LOG]Added St#1068 	Position(23982,26852) 	 to the Quad Tree.
[LOG]Added St#1069 	Position(24542,26831) 	 to the Quad Tree.
[LOG]Added St#1070 	Position(23,27387) 	 to the Quad Tree.
[LOG]Added St#1071 	Position(537,27413) 	 to the Quad Tree.
[LOG]Added St#1072 	Position(1081,27375) 	 to the Quad Tree.
[LOG]Added St#1073 	Position(1634,27370) 	 to the Quad Tree.
[LOG]Added St#1074 	Position(2147,27402) 	 to the Quad Tree.
[LOG]Added St#1075 	Position(2682,27389) 	 to the Quad Tree.
[LOG]Added St#1076 	Position(3243,27387) 	 to the Quad Tree.
[LOG]Added St#1077 	Position(3784,27371) 	 to the Quad Tree.
[LOG]Added St#1078 	Position(4290,27412) 	 to the Quad Tree.
[LOG]Added St#1079 	Position(4830,27420) 	 to the Quad Tree.
[LOG]Added St#1080 	Position(5395,27388) 	 to the Quad Tree.
[LOG]Added St#1081 	Position(5916,27373) 	 to the Quad Tree.
[LOG]Added St#1082 	Position(6464,27417) 	 to the Quad Tree.
[LOG]Added St#1083 	Position(6990,27415) 	 to the Quad Tree.
[LOG]Added St#1084 	Position(7569,27388) 	 to the Quad Tree.
[LOG]Added St#1085 	Position(8108,27414) 	 to the Quad Tree.
[LOG]Added St#1086 	Position(8611,27372) 	 to the Quad Tree.
[LOG]Added St#1087 	Position(9182,27418) 	 to the Quad Tree.
[LOG]Added St#1088 	Position(9694,27397) 	 to the Quad Tree.
[LOG]Added St#1089 	Position(10256,27400) 	 to the Quad Tree.
[LOG]Added St#1090 	Position(10754,27392) 	 to the Quad Tree.
[LOG]Added St#1091 	Position(11297,27383) 	 to the Quad Tree.
[LOG]Added St#1092 	Position(11882,27378) 	 to the Quad Tree.
[LOG]Added St#1093 	Position(12372,27373) 	 to the Quad Tree.
[LOG]Added St#1094 	Position(12931,27388) 	 to the Quad Tree.
[LOG]Added St#1095 	Position(13461,27377) 	 to the Quad Tree.
[LOG]Added St#1096 	Position(13993,27379) 	 to the Quad Tree.
[LOG]Added St#1097 	Position(14577,27391) 	 to the Quad Tree.
[LOG]Added St#1098 	Position(15115,27394) 	 to the Quad Tree.
[LOG]Added St#1099 	Position(15615,27375) 	 to the Quad Tree.
[LOG]Added St#1100 	Position(16172,27401) 	 to the Quad Tree.
[LOG]Added St#1101 	Position(16719,27418) 	 to the Quad Tree.
[LOG]Added St#1102 	Position(17235,27377) 	 to the Quad Tree.
[LOG]Added St#1103 	Position(17811,27408) 	 to the Quad Tree.
[LOG]Added St#1104 	Position(18321,27392) 	 to the Quad Tree.
[LOG]Added St#1105 	Position(18851,27377) 	 to the Quad Tree.
[LOG]Added St#1106 	Position(19392,27421) 	 to the Quad Tree.
[LOG]Added St#1107 	Position(19966,27420) 	 to the Quad Tree.
[LOG]Added St#1108 	Position(20501,27391) 	 to the Quad Tree.
[LOG]Added St#1109 	Position(21016,27383) 	 to the Quad Tree.
[LOG]Added St#1110 	Position(21565,27370) 	 to the Quad Tree.
[LOG]Added St#1111 	Position(22083,27419) 	 to the Quad Tree.
[LOG]Added St#1112 	Position(22620,27379) 	 to the Quad Tree.
[LOG]Added St#1113 	Position(23173,27420) 	 to the Quad Tree.
[LOG]Added St#1114 	Position(23694,27383) 	 to the Quad Tree.
[LOG]Added St#1115 	Position(24270,27395) 	 to the Quad Tree.
[LOG]Added St#1116 	Position(24816,27393) 	 to the Quad Tree.
[LOG]Added St#1117 	Position(254,27937) 	 to the Quad Tree.
[LOG]Added St#1118 	Position(806,27933) 	 to the Quad Tree.
[LOG]Added St#1119 	Position(1352,27911) 	 to the Quad Tree.
[LOG]Added St#1120 	Position(1897,27955) 	 to the Quad Tree.
[LOG]Added St#1121 	Position(2451,27939) 	 to the Quad Tree.
[LOG]Added St#1122 	Position(2973,27936) 	 to the Quad Tree.
[LOG]Added St#1123 	Position(3525,27944) 	 to the Quad Tree.
[LOG]Added St#1124 	Position(4039,27959) 	 to the Quad Tree.
[LOG]Added St#1125 	Position(4565,27915) 	 to the Quad Tree.
[LOG]Added St#1126 	Position(5146,27932) 	 to the Quad Tree.
[LOG]Added St#1127 	Position(5632,27924) 	 to the Quad Tree.
[LOG]Added St#1128 	Position(6173,27945) 	 to the Quad Tree.
[LOG]Added St#1129 	Position(6732,27960) 	 to the Quad Tree.
[LOG]Added St#1130 	Position(7259,27932) 	 to the Quad Tree.
[LOG]Added St#1131 	Position(7801,27919) 	 to the Quad Tree.
[LOG]Added St#1132 	Position(8366,27954) 	 to the Quad Tree.
[LOG]Added St#1133 	Position(8892,27916) 	 to the Quad Tree.
[LOG]Added St#1134 	Position(9406,27926) 	 to the Quad Tree.
[LOG]Added St#1135 	Position(9963,27916) 	 to the Quad Tree.
[LOG]Added St#1136 	Position(10510,27919) 	 to the Quad Tree.
[LOG]Added St#1137 	Position(11031,27953) 	 to the Quad Tree.
[LOG]Added St#1138 	Position(11606,27937) 	 to the Quad Tree.
[LOG]Added St#1139 	Position(12137,27934) 	 to the Quad Tree.
[LOG]Added St#1140 	Position(12691,27921) 	 to the Quad Tree.
[LOG]Added St#1141 	Position(13192,27934) 	 to the Quad Tree.
[LOG]Added St#1142 	Position(13761,27947) 	 to the Quad Tree.
[LOG]Added St#1143 	Position(14306,27950) 	 to the Quad Tree.
[LOG]Added St#1144 	Position(14797,27954) 	 to the Quad Tree.
[LOG]Added St#1145 	Position(15385,27914) 	 to the Quad Tree.
[LOG]Added St#1146 	Position(15922,27961) 	 to the Quad Tree.
[LOG]Added St#1147 	Position(16465,27957) 	 to the Quad Tree.
[LOG]Added St#1148 	Position(16990,27935) 	 to the Quad Tree.
[LOG]Added St#1149 	Position(17497,27948) 	 to the Quad Tree.
[LOG]Added St#1150 	Position(18038,27944) 	 to the Quad Tree.
[LOG]Added St#1151 	Position(18588,27914) 	 to the Quad Tree.
[LOG]Added St#1152 	Position(19141,27913) 	 to the Quad Tree.
[LOG]Added St#1153 	Position(19693,27933) 	 to the Quad Tree.
[LOG]Added St#1154 	Position(20195,27912) 	 to the Quad Tree.
[LOG]Added St#1155 	Position(20760,27920) 	 to the Quad Tree.
[LOG]Added St#1156 	Position(21293,27934) 	 to the Quad Tree.
[LOG]Added St#1157 	Position(21822,27920) 	 to the Quad Tree.
[LOG]Added St#1158 	Position(22344,27912) 	 to the Quad Tree.
[LOG]Added St#1159 	Position(22910,27933) 	 to the Quad Tree.
[LOG]Added St#1160 	Position(23431,27918) 	 to the Quad Tree.
[LOG]Added St#1161 	Position(24010,27928) 	 to the Quad Tree.
[LOG]Added St#1162 	Position(24500,27914) 	 to the Quad Tree.
[LOG]Added St#1163 	Position(0,28491) 	 to the Quad Tree.
[LOG]Added St#1164 	Position(535,28470) 	 to the Quad Tree.
[LOG]Added St#1165 	Position(1093,28474) 	 to the Quad Tree.
[LOG]Added St#1166 	Position(1597,28493) 	 to the Quad Tree.
[LOG]Added St#1167 	Position(2141,28450) 	 to the Quad Tree.
[LOG]Added St#1168 	Position(2677,28462) 	 to the Quad Tree.
[LOG]Added St#1169 	Position(3208,28494) 	 to the Quad Tree.
[LOG]Added St#1170 	Position(3798,28490) 	 to the Quad Tree.
[LOG]Added St#1171 	Position(4333,28479) 	 to the Quad Tree.
[LOG]Added St#1172 	Position(4864,28453) 	 to the Quad Tree.
[LOG]Added St#1173 	Position(5411,28499) 	 to the Quad Tree.
[LOG]Added St#1174 	Position(5908,28459) 	 to the Quad Tree.
[LOG]Added St#1175 	Position(6479,28467) 	 to the Quad Tree.
[LOG]Added St#1176 	Position(7008,28489) 	 to the Quad Tree.
[LOG]Added St#1177 	Position(7564,28476) 	 to the Quad Tree.
[LOG]Added St#1178 	Position(8110,28475) 	 to the Quad Tree.
[LOG]Added St#1179 	Position(8615,28498) 	 to the Quad Tree.
[LOG]Added St#1180 	Position(9144,28456) 	 to the Quad Tree.
[LOG]Added St#1181 	Position(9680,28461) 	 to the Quad Tree.
[LOG]Added St#1182 	Position(10265,28469) 	 to the Quad Tree.
[LOG]Added St#1183 	Position(10783,28462) 	 to the Quad Tree.
[LOG]Added St#1184 	Position(11323,28495) 	 to the Quad Tree.
[LOG]Added St#1185 	Position(11877,28452) 	 to the Quad Tree.
[LOG]Added St#1186 	Position(12385,28490) 	 to the Quad Tree.
[LOG]Added St#1187 	Position(12935,28491) 	 to the Quad Tree.
[LOG]Added St#1188 	Position(13463,28481) 	 to the Quad Tree.
[LOG]Added St#1189 	Position(13997,28489) 	 to the Quad Tree.
[LOG]Added St#1190 	Position(14551,28493) 	 to the Quad Tree.
[LOG]Added St#1191 	Position(15068,28493) 	 to the Quad Tree.
[LOG]Added St#1192 	Position(15641,28452) 	 to the Quad Tree.
[LOG]Added St#1193 	Position(16154,28472) 	 to the Quad Tree.
[LOG]Added St#1194 	Position(16690,28480) 	 to the Quad Tree.
[LOG]Added St#1195 	Position(17239,28496) 	 to the Quad Tree.
[LOG]Added St#1196 	Position(17786,28450) 	 to the Quad Tree.
[LOG]Added St#1197 	Position(18346,28488) 	 to the Quad Tree.
[LOG]Added St#1198 	Position(18879,28464) 	 to the Quad Tree.
[LOG]Added St#1199 	Position(19406,28492) 	 to the Quad Tree.
[LOG]Added St#1200 	Position(19916,28477) 	 to the Quad Tree.
[LOG]Added St#1201 	Position(20502,28456) 	 to the Quad Tree.
[LOG]Added St#1202 	Position(20999,28469) 	 to the Quad Tree.
[LOG]Added St#1203 	Position(21585,28451) 	 to the Quad Tree.
[LOG]Added St#1204 	Position(22074,28467) 	 to the Quad Tree.
[LOG]Added St#1205 	Position(22664,28497) 	 to the Quad Tree.
[LOG]Added St#1206 	Position(23156,28492) 	 to the Quad Tree.
[LOG]Added St#1207 	Position(23716,28463) 	 to the Quad Tree.
[LOG]Added St#1208 	Position(24245,28448) 	 to the Quad Tree.
[LOG]Added St#1209 	Position(24811,28478) 	 to the Quad Tree.
[LOG]Added St#1210 	Position(247,29023) 	 to the Quad Tree.
[LOG]Added St#1211 	Position(803,29004) 	 to the Quad Tree.
[LOG]Added St#1212 	Position(1365,29040) 	 to the Quad Tree.
[LOG]Added St#1213 	Position(1896,29031) 	 to the Quad Tree.
[LOG]Added St#1214 	Position(2447,29008) 	 to the Quad Tree.
[LOG]Added St#1215 	Position(2943,28992) 	 to the Quad Tree.
[LOG]Added St#1216 	Position(3494,29021) 	 to the Quad Tree.
[LOG]Added St#1217 	Position(4067,29028) 	 to the Quad Tree.
[LOG]Added St#1218 	Position(4572,29015) 	 to the Quad Tree.
[LOG]Added St#1219 	Position(5135,29033) 	 to the Quad Tree.
[LOG]Added St#1220 	Position(5650,29027) 	 to the Quad Tree.
[LOG]Added St#1221 	Position(6177,29032) 	 to the Quad Tree.
[LOG]Added St#1222 	Position(6759,28989) 	 to the Quad Tree.
[LOG]Added St#1223 	Position(7278,28994) 	 to the Quad Tree.
[LOG]Added St#1224 	Position(7827,29032) 	 to the Quad Tree.
[LOG]Added St#1225 	Position(8338,29015) 	 to the Quad Tree.
[LOG]Added St#1226 	Position(8877,29014) 	 to the Quad Tree.
[LOG]Added St#1227 	Position(9414,28990) 	 to the Quad Tree.
[LOG]Added St#1228 	Position(9996,28989) 	 to the Quad Tree.
[LOG]Added St#1229 	Position(10513,29040) 	 to the Quad Tree.
[LOG]Added St#1230 	Position(11074,29032) 	 to the Quad Tree.
[LOG]Added St#1231 	Position(11606,29036) 	 to the Quad Tree.
[LOG]Added St#1232 	Position(12151,29016) 	 to the Quad Tree.
[LOG]Added St#1233 	Position(12659,29009) 	 to the Quad Tree.
[LOG]Added St#1234 	Position(13229,29009) 	 to the Quad Tree.
[LOG]Added St#1235 	Position(13720,29023) 	 to the Quad Tree.
[LOG]Added St#1236 	Position(14306,28989) 	 to the Quad Tree.
[LOG]Added St#1237 	Position(14799,28999) 	 to the Quad Tree.
[LOG]Added St#1238 	Position(15369,29008) 	 to the Quad Tree.
[LOG]Added St#1239 	Position(15877,29036) 	 to the Quad Tree.
[LOG]Added St#1240 	Position(16452,29006) 	 to the Quad Tree.
[LOG]Added St#1241 	Position(16976,28996) 	 to the Quad Tree.
[LOG]Added St#1242 	Position(17504,28993) 	 to the Quad Tree.
[LOG]Added St#1243 	Position(18033,29009) 	 to the Quad Tree.
[LOG]Added St#1244 	Position(18616,29005) 	 to the Quad Tree.
[LOG]Added St#1245 	Position(19153,28999) 	 to the Quad Tree.
[LOG]Added St#1246 	Position(19669,29006) 	 to the Quad Tree.
[LOG]Added St#1247 	Position(20193,29037) 	 to the Quad Tree.
[LOG]Added St#1248 	Position(20762,29010) 	 to the Quad Tree.
[LOG]Added St#1249 	Position(21308,28987) 	 to the Quad Tree.
[LOG]Added St#1250 	Position(21847,29000) 	 to the Quad Tree.
[LOG]Added St#1251 	Position(22377,28990) 	 to the Quad Tree.
[LOG]Added St#1252 	Position(22884,29009) 	 to the Quad Tree.
[LOG]Added St#1253 	Position(23438,29030) 	 to the Quad Tree.
[LOG]Added St#1254 	Position(23995,29032) 	 to the Quad Tree.
[LOG]Added St#1255 	Position(24512,29006) 	 to the Quad Tree.
[LOG]Added St#1256 	Position(-26,29538) 	 to the Quad Tree.
[LOG]Added St#1257 	Position(517,29547) 	 to the Quad Tree.
[LOG]Added St#1258 	Position(1053,29570) 	 to the Quad Tree.
[LOG]Added St#1259 	Position(1612,29563) 	 to the Quad Tree.
[LOG]Added St#1260 	Position(2132,29573) 	 to the Quad Tree.
[LOG]Added St#1261 	Position(2671,29561) 	 to the Quad Tree.
[LOG]Added St#1262 	Position(3249,29579) 	 to the Quad Tree.
[LOG]Added St#1263 	Position(3775,29575) 	 to the Quad Tree.
[LOG]Added St#1264 	Position(4302,29557) 	 to the Quad Tree.
[LOG]Added St#1265 	Position(4833,29574) 	 to the Quad Tree.
[LOG]Added St#1266 	Position(5366,29544) 	 to the Quad Tree.
[LOG]Added St#1267 	Position(5935,29527) 	 to the Quad Tree.
[LOG]Added St#1268 	Position(6455,29577) 	 to the Quad Tree.
[LOG]Added St#1269 	Position(6987,29553) 	 to the Quad Tree.
[LOG]Added St#1270 	Position(7561,29567) 	 to the Quad Tree.
[LOG]Added St#1271 	Position(8100,29526) 	 to the Quad Tree.
[LOG]Added St#1272 	Position(8638,29560) 	 to the Quad Tree.
[LOG]Added St#1273 	Position(9173,29546) 	 to the Quad Tree.
[LOG]Added St#1274 	Position(9698,29558) 	 to the Quad Tree.
[LOG]Added St#1275 	Position(10214,29549) 	 to the Quad Tree.
[LOG]Added St#1276 	Position(10785,29551) 	 to the Quad Tree.
[LOG]Added St#1277 	Position(11296,29574) 	 to the Quad Tree.
[LOG]Added St#1278 	Position(11873,29535) 	 to the Quad Tree.
[LOG]Added St#1279 	Position(12373,29571) 	 to the Quad Tree.
[LOG]Added St#1280 	Position(12950,29566) 	 to the Quad Tree.
[LOG]Added St#1281 	Position(13452,29564) 	 to the Quad Tree.
[LOG]Added St#1282 	Position(14008,29545) 	 to the Quad Tree.
[LOG]Added St#1283 	Position(14526,29544) 	 to the Quad Tree.
[LOG]Added St#1284 	Position(15096,29545) 	 to the Quad Tree.
[LOG]Added St#1285 	Position(15656,29528) 	 to the Quad Tree.
[LOG]Added St#1286 	Position(16144,29528) 	 to the Quad Tree.
[LOG]Added St#1287 	Position(16699,29561) 	 to the Quad Tree.
[LOG]Added St#1288 	Position(17264,29568) 	 to the Quad Tree.
[LOG]Added St#1289 	Position(17774,29564) 	 to the Quad Tree.
[LOG]Added St#1290 	Position(18343,29547) 	 to the Quad Tree.
[LOG]Added St#1291 	Position(18885,29536) 	 to the Quad Tree.
[LOG]Added St#1292 	Position(19384,29557) 	 to the Quad Tree.
[LOG]Added St#1293 	Position(19954,29570) 	 to the Quad Tree.
[LOG]Added St#1294 	Position(20475,29532) 	 to the Quad Tree.
[LOG]Added St#1295 	Position(21025,29526) 	 to the Quad Tree.
[LOG]Added St#1296 	Position(21550,29557) 	 to the Quad Tree.
[LOG]Added St#1297 	Position(22098,29577) 	 to the Quad Tree.
[LOG]Added St#1298 	Position(22633,29534) 	 to the Quad Tree.
[LOG]Added St#1299 	Position(23178,29561) 	 to the Quad Tree.
[LOG]Added St#1300 	Position(23709,29531) 	 to the Quad Tree.
[LOG]Added St#1301 	Position(24257,29572) 	 to the Quad Tree.
[LOG]Added St#1302 	Position(24778,29547) 	 to the Quad Tree.
[LOG]Added St#1303 	Position(267,30067) 	 to the Quad Tree.
[LOG]Added St#1304 	Position(817,30087) 	 to the Quad Tree.
[LOG]Added St#1305 	Position(1356,30104) 	 to the Quad Tree.
[LOG]Added St#1306 	Position(1878,30082) 	 to the Quad Tree.
[LOG]Added St#1307 	Position(2422,30074) 	 to the Quad Tree.
[LOG]Added St#1308 	Position(2976,30093) 	 to the Quad Tree.
[LOG]Added St#1309 	Position(3506,30077) 	 to the Quad Tree.
[LOG]Added St#1310 	Position(4058,30088) 	 to the Quad Tree.
[LOG]Added St#1311 	Position(4572,30116) 	 to the Quad Tree.
[LOG]Added St#1312 	Position(5107,30067) 	 to the Quad Tree.
[LOG]Added St#1313 	Position(5681,30087) 	 to the Quad Tree.
[LOG]Added St#1314 	Position(6220,30103) 	 to the Quad Tree.
[LOG]Added St#1315 	Position(6710,30074) 	 to the Quad Tree.
[LOG]Added St#1316 	Position(7272,30077) 	 to the Quad Tree.
[LOG]Added St#1317 	Position(7790,30095) 	 to the Quad Tree.
[LOG]Added St#1318 	Position(8362,30105) 	 to the Quad Tree.
[LOG]Added St#1319 	Position(8883,30113) 	 to the Quad Tree.
[LOG]Added St#1320 	Position(9429,30066) 	 to the Quad Tree.
[LOG]Added St#1321 	Position(9944,30079) 	 to the Quad Tree.
[LOG]Added St#1322 	Position(10528,30091) 	 to the Quad Tree.
[LOG]Added St#1323 	Position(11024,30089) 	 to the Quad Tree.
[LOG]Added St#1324 	Position(11598,30084) 	 to the Quad Tree.
[LOG]Added St#1325 	Position(12150,30077) 	 to the Quad Tree.
[LOG]Added St#1326 	Position(12669,30116) 	 to the Quad Tree.
[LOG]Added St#1327 	Position(13219,30114) 	 to the Quad Tree.
[LOG]Added St#1328 	Position(13765,30116) 	 to the Quad Tree.
[LOG]Added St#1329 	Position(14283,30073) 	 to the Quad Tree.
[LOG]Added St#1330 	Position(14827,30097) 	 to the Quad Tree.
[LOG]Added St#1331 	Position(15349,30083) 	 to the Quad Tree.
[LOG]Added St#1332 	Position(15917,30068) 	 to the Quad Tree.
[LOG]Added St#1333 	Position(16457,30113) 	 to the Quad Tree.
[LOG]Added St#1334 	Position(16995,30100) 	 to the Quad Tree.
[LOG]Added St#1335 	Position(17537,30078) 	 to the Quad Tree.
[LOG]Added St#1336 	Position(18034,30092) 	 to the Quad Tree.
[LOG]Added St#1337 	Position(18579,30115) 	 to the Quad Tree.
[LOG]Added St#1338 	Position(19136,30115) 	 to the Quad Tree.
[LOG]Added St#1339 	Position(19689,30085) 	 to the Quad Tree.
[LOG]Added St#1340 	Position(20195,30089) 	 to the Quad Tree.
[LOG]Added St#1341 	Position(20759,30116) 	 to the Quad Tree.
[LOG]Added St#1342 	Position(21311,30082) 	 to the Quad Tree.
[LOG]Added St#1343 	Position(21823,30109) 	 to the Quad Tree.
[LOG]Added St#1344 	Position(22356,30093) 	 to the Quad Tree.
[LOG]Added St#1345 	Position(22887,30065) 	 to the Quad Tree.
[LOG]Added St#1346 	Position(23443,30097) 	 to the Quad Tree.
[LOG]Added St#1347 	Position(23967,30099) 	 to the Quad Tree.
[LOG]Added St#1348 	Position(24500,30094) 	 to the Quad Tree.
[LOG]Added St#1349 	Position(-17,30609) 	 to the Quad Tree.
[LOG]Added St#1350 	Position(546,30639) 	 to the Quad Tree.
[LOG]Added St#1351 	Position(1073,30656) 	 to the Quad Tree.
[LOG]Added St#1352 	Position(1619,30650) 	 to the Quad Tree.
[LOG]Added St#1353 	Position(2160,30638) 	 to the Quad Tree.
[LOG]Added St#1354 	Position(2673,30628) 	 to the Quad Tree.
[LOG]Added St#1355 	Position(3250,30639) 	 to the Quad Tree.
[LOG]Added St#1356 	Position(3767,30656) 	 to the Quad Tree.
[LOG]Added St#1357 	Position(4319,30654) 	 to the Quad Tree.
[LOG]Added St#1358 	Position(4861,30612) 	 to the Quad Tree.
[LOG]Added St#1359 	Position(5366,30607) 	 to the Quad Tree.
[LOG]Added St#1360 	Position(5953,30621) 	 to the Quad Tree.
[LOG]Added St#1361 	Position(6477,30612) 	 to the Quad Tree.
[LOG]Added St#1362 	Position(7020,30633) 	 to the Quad Tree.
[LOG]Added St#1363 	Position(7529,30646) 	 to the Quad Tree.
[LOG]Added St#1364 	Position(8069,30653) 	 to the Quad Tree.
[LOG]Added St#1365 	Position(8649,30608) 	 to the Quad Tree.
[LOG]Added St#1366 	Position(9174,30635) 	 to the Quad Tree.
[LOG]Added St#1367 	Position(9706,30656) 	 to the Quad Tree.
[LOG]Added St#1368 	Position(10267,30614) 	 to the Quad Tree.
[LOG]Added St#1369 	Position(10772,30649) 	 to the Quad Tree.
[LOG]Added St#1370 	Position(11300,30632) 	 to the Quad Tree.
[LOG]Added St#1371 	Position(11853,30657) 	 to the Quad Tree.
[LOG]Added St#1372 	Position(12374,30627) 	 to the Quad Tree.
[LOG]Added St#1373 	Position(12952,30646) 	 to the Quad Tree.
[LOG]Added St#1374 	Position(13451,30635) 	 to the Quad Tree.
[LOG]Added St#1375 	Position(14013,30644) 	 to the Quad Tree.
[LOG]Added St#1376 	Position(14538,30607) 	 to the Quad Tree.
[LOG]Added St#1377 	Position(15110,30619) 	 to the Quad Tree.
[LOG]Added St#1378 	Position(15628,30647) 	 to the Quad Tree.
[LOG]Added St#1379 	Position(16169,30640) 	 to the Quad Tree.
[LOG]Added St#1380 	Position(16685,30654) 	 to the Quad Tree.
[LOG]Added St#1381 	Position(17223,30656) 	 to the Quad Tree.
[LOG]Added St#1382 	Position(17789,30626) 	 to the Quad Tree.
[LOG]Added St#1383 	Position(18316,30656) 	 to the Quad Tree.
[LOG]Added St#1384 	Position(18857,30633) 	 to the Quad Tree.
[LOG]Added St#1385 	Position(19406,30620) 	 to the Quad Tree.
[LOG]Added St#1386 	Position(19918,30646) 	 to the Quad Tree.
[LOG]Added St#1387 	Position(20492,30633) 	 to the Quad Tree.
[LOG]Added St#1388 	Position(21035,30604) 	 to the Quad Tree.
[LOG]Added St#1389 	Position(21579,30620) 	 to the Quad Tree.
[LOG]Added St#1390 	Position(22112,30636) 	 to the Quad Tree.
[LOG]Added St#1391 	Position(22631,30634) 	 to the Quad Tree.
[LOG]Added St#1392 	Position(23170,30647) 	 to the Quad Tree.
[LOG]Added St#1393 	Position(23711,30613) 	 to the Quad Tree.
[LOG]Added St#1394 	Position(24244,30636) 	 to the Quad Tree.
[LOG]Added St#1395 	Position(24810,30652) 	 to the Quad Tree.
[LOG]Added St#1396 	Position(280,31177) 	 to the Quad Tree.
[LOG]Added St#1397 	Position(782,31158) 	 to the Quad Tree.
[LOG]Added St#1398 	Position(1372,31168) 	 to the Quad Tree.
[LOG]Added St#1399 	Position(1862,31154) 	 to the Quad Tree.
[LOG]Added St#1400 	Position(2448,31184) 	 to the Quad Tree.
[LOG]Added St#1401 	Position(2981,31168) 	 to the Quad Tree.
[LOG]Added St#1402 	Position(3521,31177) 	 to the Quad Tree.
[LOG]Added St#1403 	Position(4034,31171) 	 to the Quad Tree.
[LOG]Added St#1404 	Position(4570,31172) 	 to the Quad Tree.
[LOG]Added St#1405 	Position(5124,31149) 	 to the Quad Tree.
[LOG]Added St#1406 	Position(5641,31143) 	 to the Quad Tree.
[LOG]Added St#1407 	Position(6212,31146) 	 to the Quad Tree.
[LOG]Added St#1408 	Position(6755,31155) 	 to the Quad Tree.
[LOG]Added St#1409 	Position(7255,31170) 	 to the Quad Tree.
[LOG]Added St#1410 	Position(7793,31170) 	 to the Quad Tree.
[LOG]Added St#1411 	Position(8374,31153) 	 to the Quad Tree.
[LOG]Added St#1412 	Position(8910,31195) 	 to the Quad Tree.
